SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
14,Dogecoin,DOGE,2/14/2021 23:59,0.06644842,0.05672307,0.06644842,0.06253697,3984667628,8028048754
15,Dogecoin,DOGE,2/15/2021 23:59,0.06392375,0.04854737,0.06256832,0.05659087,4944804938,7265519863
16,Dogecoin,DOGE,2/16/2021 23:59,0.05966752,0.05098287,0.0564875,0.05352025,3409478696,6872026263
17,Dogecoin,DOGE,2/17/2021 23:59,0.05498263,0.04803387,0.05352225,0.04937563,2976148723,6340534302
18,Dogecoin,DOGE,2/18/2021 23:59,0.06179931,0.04898933,0.04936332,0.05954129,4551943638,7646763727
19,Dogecoin,DOGE,2/19/2021 23:59,0.05949659,0.05431458,0.05943402,0.05513934,2949251418,7082160843
20,Dogecoin,DOGE,2/20/2021 23:59,0.06028569,0.05162842,0.05513205,0.05438446,3175468554,6985943091
21,Dogecoin,DOGE,2/21/2021 23:59,0.05842831,0.05355587,0.05436871,0.05597983,2450293068,7191635972
22,Dogecoin,DOGE,2/22/2021 23:59,0.06046605,0.04709622,0.05604415,0.05372515,3366757324,6902725620
23,Dogecoin,DOGE,2/23/2021 23:59,0.05376828,0.04241035,0.05369844,0.04739205,2394345361,6089686351
24,Dogecoin,DOGE,2/24/2021 23:59,0.05987291,0.0462159,0.04741442,0.05655541,4148511571,7267918251
25,Dogecoin,DOGE,2/25/2021 23:59,0.05780827,0.04986917,0.0566146,0.05016734,2356982022,6447664671
26,Dogecoin,DOGE,2/26/2021 23:59,0.0524721,0.04870779,0.0501381,0.05047986,1694323466,6488523369
27,Dogecoin,DOGE,2/27/2021 23:59,0.05191956,0.04929685,0.05049989,0.0500829,1286229526,6438192652
